" ","Mật độ dân số 2016 (Người/km2)"
"CẢ NƯỚC",280.0
"Đồng bằng sông Hồng",994.0
"Hà Nội",2182.0
"Vĩnh Phúc",863.0
"Bắc Ninh",1432.0
"Quảng Ninh",198.0
"Hải Dương",1070.0
"Hải Phòng",1268.0
"Hưng Yên",1258.0
"Thái Bình",1128.0
"Hà Nam",932.0
"Nam Định",1110.0
"Ninh Bình",687.0
"Trung du và miền núi phía Bắc",126.0
"Hà Giang",103.0
"Cao Bằng",79.0
"Bắc Kạn",66.0
"Tuyên Quang",131.0
"Lào Cai",108.0
"Yên Bái",116.0
"Thái Nguyên",348.0
"Lạng Sơn",92.0
"Bắc Giang",426.0
"Phú Thọ",391.0
"Điện Biên",58.0
"Lai Châu",48.0
"Sơn La",86.0
"Hoà Bình",181.0
"Bắc Trung Bộ và Duyên hải miền Trung",207.0
"Thanh Hoá",317.0
"Nghệ An",188.0
"Hà Tĩnh",211.0
"Quảng Bình",110.0
"Quảng Trị",135.0
"Thừa Thiên Huế",235.0
"Đà Nẵng",814.0
"Quảng Nam",141.0
"Quảng Ngãi",243.0
"Bình Định",251.0
"Phú Yên",179.0
"Khánh Hoà",236.0
"Ninh Thuận",179.0
"Bình Thuận",154.0
"Tây Nguyên",104.0
"Kon Tum",52.0
"Gia Lai",91.0
"Đắk Lắk",144.0
"Đắk Nông",93.0
"Lâm Đồng",132.0
"Đông Nam Bộ",697.0
"Bình Phước",139.0
"Tây Ninh",277.0
"Bình Dương",741.0
"Đồng Nai",505.0
"Bà Rịa - Vũng Tàu",551.0
"TP.Hồ Chí Minh",4025.0
"Đồng bằng sông Cửu Long",433.0
"Long An",332.0
"Tiền Giang",693.0
"Bến Tre",528.0
"Trà Vinh",441.0
"Vĩnh Long",687.0
"Đồng Tháp",499.0
"An Giang",611.0
"Kiên Giang",280.0
"Cần Thơ",874.0
"Hậu Giang",476.0
"Sóc Trăng",396.0
"Bạc Liêu",332.0
"Cà Mau",234.0
